"","datetime","city","country","shape"
"61530",0007-01-19,"kitchener (canada)","ca","sphere"
"88787",0009-08-20,"kitchener (canada)","ca","sphere"
"71251",0007-09-20,"kitty hawk","us","sphere"
"4182",NA,"klamath falls","us","sphere"
"25227",NA,"kleive (norway)",NA,"sphere"
"26327",NA,"knife river","us","sphere"
"16140",NA,"knoxville","us","sphere"
"22841",NA,"knoxville","us","sphere"
"29501",NA,"knoxville","us","sphere"
"44086",NA,"knoxville","us","sphere"
"50260",NA,"knoxville","us","sphere"
"50261",NA,"knoxville","us","sphere"
"42081",NA,"kodiak","us","sphere"
"7287",0010-05-20,"koh samui (thailand",NA,"sphere"
"7288",0010-05-20,"koh samui (thailand",NA,"sphere"
"87007",NA,"kokomo","us","sphere"
"53921",NA,"koshkonong","us","sphere"
"48399",NA,"kuala lumpur (malaysia)",NA,"sphere"
"50145",NA,"kuala lumpur (malaysia)",NA,"sphere"
"1653",NA,"kuantan (malaysia)",NA,"sphere"
"33666",0003-10-20,"la cholla&#44 sonora (mexico)",NA,"sphere"
"81216",0009-11-20,"la crescenta","us","sphere"
"79291",0008-04-20,"la grande","us","sphere"
"70443",0007-07-19,"la habra","us","sphere"
"72740",0008-12-20,"la habra","us","sphere"
"44911",0004-05-20,"la jolla","us","sphere"
"22203",NA,"la madrid (mexico)",NA,"sphere"
"21982",0012-02-20,"la mesa","us","sphere"
"31489",NA,"la mirada","us","sphere"
"77508",NA,"la palma","us","sphere"
"78215",NA,"la palma","us","sphere"
"59967",0006-06-19,"la paz (bolivia)",NA,"sphere"
"70647",0007-07-20,"la plata (argentina)",NA,"sphere"
"10241",NA,"la porte",NA,"sphere"
"56502",NA,"la porte",NA,"sphere"
"60384",0006-07-20,"la porte",NA,"sphere"
"87228",NA,"la sal","us","sphere"
"82345",NA,"la salle","us","sphere"
"37822",NA,"la verne","us","sphere"
"34621",NA,"lac du bonnet (canada)","ca","sphere"
"50308",NA,"lacassine","us","sphere"
"51864",0006-10-20,"lacassine","us","sphere"
"26781",NA,"lacey","us","sphere"
"38779",0003-05-20,"lacey","us","sphere"
"43664",NA,"lacey","us","sphere"
"60366",0006-07-20,"lacey township",NA,"sphere"
"39810",0004-10-20,"lacon","us","sphere"
"85225",NA,"ladson","us","sphere"
"41962",NA,"lafayette","us","sphere"
"50213",NA,"lafayette","us","sphere"
"75990",NA,"lafayette","us","sphere"
"17458",NA,"laguna beach","us","sphere"
"16168",0011-04-20,"laguna hills","us","sphere"
"26083",NA,"laguna niguel","us","sphere"
"28387",0002-10-19,"laguna niguel","us","sphere"
"82615",NA,"laguna niguel","us","sphere"
"5785",NA,"lahaina","us","sphere"
"76360",NA,"lahaina (maui)","us","sphere"
"20355",NA,"lajes air force base (portugal)",NA,"sphere"
"33312",0002-08-20,"lake alfred","us","sphere"
"72912",NA,"lake alpine","us","sphere"
"19734",0012-12-20,"lake balboa / los angeles",NA,"sphere"
"9290",0011-01-20,"lake barryessa",NA,"sphere"
"679",0010-01-19,"lake berryessa",NA,"sphere"
"81153",0009-11-20,"lake charles","us","sphere"
"20729",NA,"lake city","us","sphere"
"65603",0007-02-20,"lake cumberland (wolf creek dam)",NA,"sphere"
"12769",NA,"lake edward (canada)",NA,"sphere"
"9530",0011-01-20,"lake elsinore","us","sphere"
"26923",NA,"lake elsinore","us","sphere"
"33443",0002-09-20,"lake elsinore","us","sphere"
"80905",0009-10-20,"lake elsinore","us","sphere"
"2258",NA,"lake forest park","us","sphere"
"7716",0010-07-20,"lake geneva","us","sphere"
"81814",0009-01-20,"lake george","us","sphere"
"79383",0008-04-20,"lake george village",NA,"sphere"
"61642",0007-01-19,"lake havasu",NA,"sphere"
"74679",NA,"lake havasu",NA,"sphere"
"9687",0011-12-20,"lake havasu city","us","sphere"
"12307",0001-01-20,"lake havasu city","us","sphere"
"18403",0011-09-20,"lake havasu city","us","sphere"
"27959",0001-07-20,"lake havasu city","us","sphere"
"28892",0002-01-20,"lake havasu city","us","sphere"
"36802",NA,"lake havasu city","us","sphere"
"40840",NA,"lake havasu city","us","sphere"
"56509",NA,"lake havasu city","us","sphere"
"48799",NA,"lake leland",NA,"sphere"
"28396",0002-10-19,"lake makokibatan (canada)",NA,"sphere"
"69656",0007-04-20,"lake mills","us","sphere"
"70090",0007-05-20,"lake mills","us","sphere"
"56287",NA,"lake orion","us","sphere"
"8163",0010-09-20,"lake oswego","us","sphere"
"21994",NA,"lake panasoffkee","us","sphere"
"10239",NA,"lake ronkonkoma","us","sphere"
"69219",0007-04-20,"lake stevens","us","sphere"
"76941",NA,"lake stevens","us","sphere"
"63796",NA,"lake tahoe area",NA,"sphere"
"10308",NA,"lake victor","us","sphere"
"33336",0002-08-20,"lake view terrace","us","sphere"
"81618",0009-01-20,"lake villa","us","sphere"
"20408",NA,"lake wales","us","sphere"
"58539",NA,"lake wales","us","sphere"
"74296",NA,"lake wales","us","sphere"
"73190",NA,"lake winnange (canada)",NA,"sphere"
"853",0010-01-20,"lake worth","us","sphere"
"88959",0009-09-20,"lake worth","us","sphere"
"80211",0008-08-19,"lake zurich","us","sphere"
"16965",0011-06-20,"lakeland","us","sphere"
"51295",0005-07-20,"lakeland","us","sphere"
"57664",NA,"lakenheath (uk/england)","gb","sphere"
"44903",0004-05-20,"lakeridge",NA,"sphere"
"79063",0008-03-20,"lakeview","us","sphere"
"69220",0007-04-20,"lakeville","us","sphere"
"53401",0006-01-20,"lakeway","us","sphere"
"7661",0010-07-20,"lakewood","us","sphere"
"18327",0011-09-20,"lakewood","us","sphere"
"61580",0007-01-19,"lakewood","us","sphere"
"64413",NA,"lakewood","us","sphere"
"75579",NA,"lakewood","us","sphere"
"84401",NA,"lakewood","us","sphere"
"85140",0009-02-20,"lakewood","us","sphere"
"86398",NA,"lakewood","us","sphere"
"87207",NA,"lakewood","us","sphere"
"87209",NA,"lakewood","us","sphere"
"87210",NA,"lakewood","us","sphere"
"19525",0012-01-20,"lancashire (uk/england)","gb","sphere"
"29421",NA,"lancashire (uk/england)","gb","sphere"
"43917",NA,"lancashire (uk/england)","gb","sphere"
"3573",NA,"lancaster","us","sphere"
"19737",0012-12-20,"lancaster","us","sphere"
"33254",0002-08-20,"lancaster","us","sphere"
"44570",0004-03-20,"lancaster","us","sphere"
"45063",0004-06-20,"lancaster","us","sphere"
"52526",0006-01-19,"lancaster","us","sphere"
"59504",0006-03-20,"lancaster","us","sphere"
"73984",NA,"lancaster","us","sphere"
"75949",NA,"lancaster","us","sphere"
"83784",NA,"lancaster","us","sphere"
"4702",NA,"lancaster (uk/england)","gb","sphere"
"49071",NA,"langley","us","sphere"
"27774",0001-06-20,"lansdale","us","sphere"
"31964",NA,"lansing","us","sphere"
"77327",NA,"lansing","us","sphere"
"82992",NA,"lansing","us","sphere"
"25992",0012-07-20,"laramie","us","sphere"
"83018",NA,"laramie","us","sphere"
"66978",NA,"larchmont","us","sphere"
"3236",NA,"laredo","us","sphere"
"20015",NA,"largo","us","sphere"
"23263",NA,"largo","us","sphere"
"44031",NA,"largo","us","sphere"
"63751",NA,"larose","us","sphere"
"47719",NA,"las cruces","us","sphere"
"69245",0007-04-20,"las cruces","us","sphere"
"75351",NA,"las cruces","us","sphere"
"1693",NA,"las vegas","us","sphere"
"3189",NA,"las vegas","us","sphere"
"3626",NA,"las vegas","us","sphere"
"5285",NA,"las vegas","us","sphere"
"14712",NA,"las vegas","us","sphere"
"20180",NA,"las vegas","us","sphere"
"25410",NA,"las vegas","us","sphere"
"32347",NA,"las vegas","us","sphere"
"34091",0003-01-20,"las vegas","us","sphere"
"38586",0003-04-20,"las vegas","us","sphere"
"39724",0004-10-20,"las vegas","us","sphere"
"40935",NA,"las vegas","us","sphere"
"48452",NA,"las vegas","us","sphere"
"51416",0005-08-20,"las vegas","us","sphere"
"55740",NA,"las vegas","us","sphere"
"60052",0006-06-20,"las vegas","us","sphere"
"60994",0007-10-20,"las vegas","us","sphere"
"61370",0007-11-20,"las vegas","us","sphere"
"64180",NA,"las vegas","us","sphere"
"66090",NA,"las vegas","us","sphere"
"67352",NA,"las vegas","us","sphere"
"74739",NA,"las vegas","us","sphere"
"80167",0008-07-20,"las vegas","us","sphere"
"83920",NA,"las vegas","us","sphere"
"86335",NA,"las vegas","us","sphere"
"86554",NA,"las vegas","us","sphere"
"87194",NA,"las vegas","us","sphere"
"28543",0002-10-20,"las vegas (north of)","us","sphere"
"60368",0006-07-20,"las vegas (northwest)","us","sphere"
"17673",NA,"las vegas (se of)","us","sphere"
"63781",NA,"las vegas (south of)","us","sphere"
"58935",NA,"las vegas/charleston heights",NA,"sphere"
"10186",NA,"latham/watervliet",NA,"sphere"
"56089",NA,"lathorp (near manteca)",NA,"sphere"
"53978",NA,"latrobe","us","sphere"
"87519",0009-03-20,"lauglintown",NA,"sphere"
"5546",NA,"laurel","us","sphere"
"15690",0011-03-20,"laurel","us","sphere"
"72421",0008-01-20,"laurie (5 mi. w of; 52 mile marker on osage)","us","sphere"
"56847",NA,"lausanne (switzerland)",NA,"sphere"
"38346",NA,"laval (canada)","ca","sphere"
"75138",NA,"lavergne",NA,"sphere"
"622",0010-01-19,"lawrence","us","sphere"
"6798",0010-03-20,"lawrence","us","sphere"
"42420",NA,"lawrence","us","sphere"
"21798",NA,"lawrenceburg","us","sphere"
"44716",0004-04-20,"lawrenceville","us","sphere"
"2098",NA,"lawton","us","sphere"
"51505",0005-09-20,"lawton","us","sphere"
"59886",0006-05-20,"lawton","us","sphere"
"76930",NA,"lawton","us","sphere"
"54694",NA,"lawton (outside) (bankson lake)","us","sphere"
"2219",NA,"layton","us","sphere"
"13501",0001-12-20,"league city","us","sphere"
"82109",0009-12-20,"league city","us","sphere"
"12925",NA,"leavenworth","us","sphere"
"17116",0011-06-20,"leavenworth","us","sphere"
"6802",0010-03-20,"lebanon","us","sphere"
"18625",NA,"lebanon","us","sphere"
"42583",0004-02-19,"lebanon","us","sphere"
"69246",0007-04-20,"lebanon","us","sphere"
"81025",0009-10-20,"lebanon","us","sphere"
"60705",0006-09-20,"lee&#39s summit",NA,"sphere"
"66830",NA,"lee&#39s summit",NA,"sphere"
"84112",NA,"lee&#39s summit",NA,"sphere"
"84791",NA,"lee&#39s summit",NA,"sphere"
"66680",NA,"leeds (outside birmingham)","us","sphere"
